13150002,19021995
13150004,30061995
13150008,14111995
12150820,10031994
13150015,25081995
13150016,17101995
13150018,23061995
13150021,01021995
13150024,15111995
13150029,27031995
13151160,22101994
13150032,03081995
12150094,18101994
13150036,25121995
13150037,15051995
13150039,25031995
12150113,07071994
13150043,31011995
13150044,18101995
13150045,24061995
13150046,08071995
13150048,16021995
13150050,17061995
13150054,25121995
13150057,25121995
13150061,12101995
13150063,02021994
13150065,17081994
13150066,26121995
13150068,23121995
13150069,23101995
13151075,27121995
13150077,10041995
13150078,22081995
12150890,27091994
13150085,22071995
13150087,22081995
13150471,01051995
13150090,27111995
13150091,01061995
13150080,07081994
12150299,29011994
12150323,06091993
13150094,14121995
13150095,08111995
13150097,03091994
13150101,27051995
13150104,01011995
13151164,16061992
13151171,10121995
13150106,27121994
13150108,08071995
13150114,05091995
13150115,09071995
13150120,16031995
13150117,18121995
13150127,03121993
13150129,07051995
13150130,09041995
13150133,21101995
13150134,27121994
13150135,31101994
13150854,15091995
13150139,02061995
12150492,09081994
13150142,12021995
13150144,21101995
13150149,21111995
13150150,27071995
13150154,02061994
13151149,10091995
12150553,17031994
13150164,24111995
13150165,21021995
13150166,15031995
13150167,16101995
13150170,28081995
13150176,30111995
13150180,22121995
13150185,30071995
12150652,02121994
13150193,18011995
13150195,02091995
13150196,19081995
13150199,15071995
12150690,28091994
13150216,12111995
13150207,17091994
13150208,02121995
13150209,14091994
13150226,14041994
13150218,12011995
12150773,26091994
13150221,29121995
13150222,01041995
